[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/src_1_ba46s._.js → 200 (120ms, 23589B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_1gyjs2j._.js → 200 (87ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/1sjr_%40supabase_auth-js_dist_module_1np_ckv._.js → 200 (97ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_1dp28zq._.js → 200 (103ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/src_02e8glw._.js → 200 (95ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_04zojw8._.js → 200 (104ms, ?B)
[2026-08-14T12:12:06.572Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (27ms, ?B)
[2026-08-14T12:12:06.581Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, -209B)
[2026-08-14T12:12:06.581Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, -209B)
[2026-08-14T12:12:06.630Z] GET https://rtooegnchqutircafywz.supabase.co/rest/v1/luna_my_design_projects?select=project_id%2Cchats%2Cdesign_data&project_id=eq.123 → pending (?ms, ?B)
[2026-08-14T12:12:07.388Z] GET https://mydesigns.pro/img/luna-logo.jpg → 200 (4ms, -236B)
[2026-08-14T12:12:07.629Z] POST https://rtooegnchqutircafywz.supabase.co/rest/v1/luna_my_design_projects?on_conflict=project_id → pending (?ms, ?B)
[2026-08-14T12:12:20.059Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0&_rsc=NjVT1DPryfVv0IEN → 200 (72ms, ?B)
[2026-08-14T12:13:44.885Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0&_rsc=NjVT1DPryfVv0IEN → 200 (72ms, ?B)
[2026-08-14T12:14:36.671Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0&_rsc=NjVT1DPryfVv0IEN → 200 (72ms, ?B)
